ΔT,u_expand,u_merged,merged_lower,merged_upper,gap,resolution_%,concordance
1.0,2.67635,3.3259499999999997,66.67214999999999,73.32405,0.2532499999999942,95.26874287742645,✗
1.05,2.8101675,3.4597675,66.5383325,73.45786749999999,0.11943250000000205,97.7687428774263,✗
1.1,2.943985,3.593585,66.40451499999999,73.591685,0.0,100.0,✓
1.1500000000000001,3.0778025,3.7274025,66.2706975,73.72550249999999,0.0,100.0,✓
1.2000000000000002,3.2116200000000004,3.8612200000000003,66.13687999999999,73.85932,0.0,100.0,✓
1.2500000000000002,3.3454375000000005,3.9950375000000005,66.0030625,73.99313749999999,0.0,100.0,✓
1.3000000000000003,3.4792550000000007,4.128855000000001,65.86924499999999,74.126955,0.0,100.0,✓
1.3500000000000003,3.6130725000000004,4.262672500000001,65.73542749999999,74.2607725,0.0,100.0,✓
1.4000000000000004,3.7468900000000005,4.39649,65.60161,74.39459,0.0,100.0,✓
1.4500000000000004,3.8807075000000006,4.530307500000001,65.46779249999999,74.5284075,0.0,100.0,✓
1.5000000000000004,4.014525000000001,4.664125,65.333975,74.66222499999999,0.0,100.0,✓
1.5500000000000005,4.148342500000001,4.797942500000001,65.20015749999999,74.7960425,0.0,100.0,✓
1.6000000000000005,4.282160000000001,4.931760000000001,65.06634,74.92985999999999,0.0,100.0,✓
