Field,Epoch,Date,Dataset,Filt,ExpTime,Ndit
F6,3,2020-12-18,IEBI03020,F350LP,785.0,1
F6,3,2020-12-18,IEBI03WLQ,F814W,785.0,1
F6,4,2020-12-24,IEBI04020,F350LP,785.0,1
F6,5,2020-12-31,IEBI05020,F350LP,785.0,1
F6,5,2020-12-31,IEBI05B1Q,F555W,785.0,1
F6,6,2021-01-06,IEBI06020,F350LP,785.0,1
F6,7,2021-01-10,IEBI07020,F350LP,785.0,1
F6,7,2021-01-10,IEBI07VSQ,F814W,785.0,1
F6,8,2021-01-18,IEBI08020,F350LP,785.0,1
F6,9,2021-01-24,IEBI09020,F350LP,785.0,1
F6,9,2021-01-24,IEBI09WNQ,F555W,785.0,1
F6,10,2021-01-29,IEBI10020,F350LP,785.0,1
F6,11,2021-02-05,IEBI11020,F350LP,785.0,1
F6,11,2021-02-05,IEBI11XQQ,F814W,785.0,1
F6,12,2021-02-09,IEBI12020,F350LP,785.0,1
