ID,Per,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W,F350LP,e_F350LP,AmpV,AmpI
J121831.94+471939.8,5.53,184.633072,47.327709,26.38,0.188,25.514,0.151,26.406,0.089,0.338,0.241
J121902.17+471711.1,5.534,184.759048,47.286415,25.987,0.325,25.029,0.46,,,0.31,0.194
J121853.57+472240.5,5.545,184.723221,47.377918,26.695,0.14,25.376,0.246,26.303,0.13,0.259,0.185
J121847.83+471904.5,5.55,184.69928,47.317905,26.182,0.179,25.269,0.27,,,0.4,0.201
J121901.01+471458.3,5.551,184.754227,47.249527,26.151,0.212,25.557,0.297,,,0.334,0.309
J121900.69+471521.5,5.558,184.752884,47.255974,26.057,0.218,25.504,0.267,,,0.306,0.236
J121851.66+471515.5,5.564,184.71524,47.254318,26.298,0.185,25.467,0.214,,,0.381,0.35
J121852.01+471603.3,5.581,184.71669,47.267578,27.062,0.257,25.902,0.269,,,0.361,0.22
J121854.29+471456.7,5.631,184.726212,47.249077,26.097,0.257,25.232,0.3,,,0.313,0.2
J121850.22+472125.0,5.649,184.709259,47.356956,26.065,0.123,24.985,0.224,25.841,0.135,0.217,0.155
J121901.36+471755.1,5.658,184.755676,47.298626,26.139,0.348,25.398,0.491,,,0.393,0.213
J121831.48+472116.3,5.661,184.63118,47.35453,27.387,0.519,26.255,0.322,27.181,0.144,0.337,0.241
J121853.98+471906.2,5.688,184.72493,47.318394,26.515,0.244,25.356,0.384,,,0.401,0.227
J121856.88+471611.8,5.689,184.737015,47.269947,26.35,0.294,25.3,0.38,,,0.383,0.208
J121830.25+472102.4,5.693,184.626022,47.350677,26.043,0.094,25.17,0.118,25.951,0.111,0.37,0.264
J121852.67+471432.0,5.695,184.719452,47.24221,26.14,0.216,25.145,0.161,,,0.463,0.286
J121850.46+472033.0,5.696,184.710266,47.342495,26.571,0.187,25.69,0.316,,,0.395,0.218
J121848.05+471912.5,5.7,184.700195,47.320152,26.243,0.201,25.495,0.36,,,0.41,0.248
J121847.87+471555.4,5.712,184.699448,47.265396,26.083,0.126,25.373,0.135,,,0.336,0.307
J121840.36+472010.6,5.715,184.668182,47.336281,26.033,0.104,25.161,0.122,25.938,0.122,0.355,0.179
J121846.04+472024.5,5.723,184.691818,47.340141,26.202,0.119,25.348,0.17,25.967,0.183,0.382,0.232
J121853.43+472210.6,5.76,184.722626,47.369602,26.403,0.25,25.375,0.161,26.295,0.127,0.338,0.241
J121835.78+472153.3,5.776,184.649094,47.364796,26.524,0.147,25.324,0.261,25.981,0.119,0.313,0.223
J121923.68+471239.9,5.784,184.848679,47.211094,26.487,0.122,25.604,0.155,,,0.463,0.328
J121914.96+471020.9,5.807,184.812347,47.17247,26.264,0.195,25.446,0.126,,,0.45,0.253
J121859.74+471534.7,5.819,184.748932,47.259628,25.827,0.262,24.893,0.392,,,0.315,0.2
J121837.17+472228.6,5.825,184.654877,47.374619,25.887,0.11,25.243,0.152,25.892,0.111,0.369,0.264
J121917.56+471138.5,5.841,184.823166,47.194023,26.33,0.161,25.539,0.157,,,0.476,0.309
J121922.20+471308.3,5.847,184.842484,47.218967,26.169,0.105,25.337,0.127,,,0.338,0.239
J121853.17+471717.9,5.857,184.721527,47.288319,26.014,0.287,24.893,0.542,,,0.417,0.22
J121914.42+471151.3,5.862,184.810089,47.197594,26.433,0.092,25.29,0.12,,,0.301,0.215
J121836.02+471914.2,5.867,184.65007,47.320602,26.729,0.087,25.899,0.098,26.598,0.08,0.228,0.163
J121854.27+471447.8,5.871,184.726135,47.24662,26.325,0.19,25.208,0.237,,,0.441,0.26
J121859.59+472127.4,5.873,184.748291,47.357616,26.299,0.127,25.441,0.14,,,0.356,0.237
J121858.56+471801.6,5.906,184.744019,47.300442,25.489,0.473,24.397,0.75,,,0.325,0.169
J121848.14+471905.7,5.914,184.700577,47.318253,26.094,0.211,24.872,0.263,,,0.303,0.167
J121848.92+471835.6,5.914,184.703827,47.309879,26.642,0.3,25.869,0.364,,,0.267,0.204
J121848.31+472103.7,5.918,184.701309,47.351028,26.128,0.191,25.494,0.263,,,0.321,0.188
J121840.91+472011.7,5.938,184.670441,47.336575,26.368,0.133,25.428,0.292,26.045,0.094,0.303,0.216
J121918.05+471130.3,5.942,184.825226,47.191757,26.82,0.159,26.211,0.151,,,0.224,0.155
J121920.11+471106.1,5.951,184.833801,47.185024,26.137,0.108,25.188,0.139,,,0.29,0.178
J121853.15+471526.2,5.969,184.721451,47.25729,25.57,0.148,24.94,0.191,,,0.335,0.206
J121849.09+472104.5,5.983,184.704559,47.351246,26.006,0.272,25.428,0.378,,,0.293,0.172
J121834.69+472108.9,6.013,184.644562,47.352459,26.124,0.203,25.296,0.128,25.782,0.07,0.298,0.213
J121904.56+471725.8,6.028,184.768997,47.290504,26.245,0.254,25.054,0.368,,,0.34,0.197
J121904.26+471559.4,6.096,184.767761,47.266487,26.112,0.248,25.323,0.317,,,0.446,0.246
J121847.33+472056.4,6.097,184.697205,47.348995,26.126,0.134,25.06,0.266,25.642,0.162,0.243,0.173
J121929.25+471036.0,6.098,184.871857,47.17667,26.103,0.077,25.319,0.071,,,0.3,0.235
J121845.58+472108.4,6.1,184.689911,47.352325,27.101,0.165,25.784,0.206,26.686,0.149,0.323,0.231
J121849.37+472326.0,6.109,184.705719,47.39056,26.082,0.138,25.411,0.17,25.93,0.118,0.359,0.257
J121847.56+472112.0,6.115,184.698181,47.353333,26.254,0.095,25.472,0.25,26.15,0.137,0.311,0.191
J121926.39+471044.8,6.124,184.85997,47.179104,25.948,0.099,25.185,0.102,,,0.401,0.246
J121919.56+471118.3,6.126,184.831512,47.188427,26.42,0.1,25.547,0.105,,,0.293,0.181
J121924.62+471013.8,6.126,184.8526,47.17049,27.042,0.307,26.138,0.181,,,0.329,0.261
J121914.60+471556.6,6.128,184.810852,47.265709,26.021,0.169,24.836,0.131,,,0.338,0.189
J121922.01+471238.6,6.129,184.841705,47.210716,26.627,0.112,25.638,0.156,,,0.329,0.166
J121846.21+472102.2,6.129,184.692535,47.350605,26.39,0.27,24.983,0.25,25.916,0.156,0.296,0.211
J121839.67+472012.2,6.156,184.665283,47.336716,26.056,0.106,25.258,0.183,26.069,0.128,0.272,0.194
J121903.91+471554.7,6.157,184.766281,47.265198,25.585,0.251,25.092,0.337,,,0.334,0.181
J121852.90+471724.9,6.158,184.720428,47.29026,25.476,0.302,24.649,0.427,,,0.298,0.183
J121840.03+471958.4,6.19,184.666779,47.332878,26.494,0.119,25.437,0.124,26.567,0.082,0.268,0.191
J121900.13+471553.5,6.203,184.750549,47.264866,26.378,0.255,25.797,0.434,,,0.336,0.213
J121844.15+472258.4,6.212,184.68396,47.382889,26.029,0.195,25.364,0.134,25.927,0.09,0.327,0.234
J121906.91+471729.2,6.23,184.778778,47.291447,25.578,0.138,24.8,0.282,,,0.306,0.175
J121842.12+471901.5,6.242,184.675491,47.317085,26.504,0.126,25.519,0.169,,,0.437,0.308
J121855.74+471909.7,6.251,184.732239,47.319366,26.147,0.335,25.29,0.476,,,0.264,0.213
J121838.70+472012.5,6.252,184.66124,47.336811,25.996,0.094,24.777,0.241,25.774,0.083,0.273,0.195
J121920.47+471115.8,6.253,184.835312,47.187729,26.11,0.103,25.159,0.165,,,0.401,0.273
J121849.37+471942.6,6.267,184.705719,47.328503,26.186,0.192,25.113,0.304,,,0.308,0.169
J121847.23+471954.5,6.28,184.696793,47.331802,25.838,0.189,25.185,0.235,,,0.385,0.227
J121835.41+471942.6,6.28,184.647552,47.328487,26.446,0.12,25.119,0.105,26.19,0.079,0.323,0.231
J121847.06+471929.2,6.291,184.696091,47.324772,26.774,0.219,25.512,0.269,,,0.323,0.189
J121853.00+472133.3,6.296,184.72084,47.359253,26.185,0.11,25.431,0.145,26.11,0.143,0.308,0.22
J121926.14+470959.2,6.298,184.858932,47.166447,26.953,0.134,26.123,0.169,,,0.296,0.26
J121859.14+471647.0,6.305,184.746399,47.27972,26.601,0.307,25.35,0.382,,,0.296,0.194
J121902.34+471609.1,6.31,184.759766,47.269192,25.57,0.22,24.645,0.392,,,0.284,0.177
J121927.49+471036.3,6.318,184.864532,47.176739,25.833,0.1,25.068,0.117,,,0.453,0.291
J121855.00+472157.8,6.327,184.729172,47.366043,26.427,0.149,25.516,0.189,26.408,0.135,0.308,0.22
J121849.65+472055.9,6.333,184.706879,47.348862,25.999,0.204,25.047,0.309,25.941,0.187,0.34,0.243
J121829.70+472031.9,6.349,184.623734,47.342197,27.013,0.197,25.963,0.415,26.762,0.083,0.278,0.198
J121833.52+472112.9,6.353,184.639679,47.353592,26.647,0.115,25.34,0.238,26.359,0.074,0.275,0.196
J121901.36+471559.8,6.355,184.755676,47.266602,25.92,0.188,25.325,0.303,,,0.316,0.292
J121926.51+471009.8,6.367,184.860443,47.169376,25.732,0.143,25.045,0.128,,,0.387,0.292
J121835.48+471934.5,6.388,184.647842,47.326256,26.401,0.058,25.495,0.07,26.199,0.066,0.36,0.237
J121853.30+472239.7,6.392,184.722076,47.377682,26.631,0.209,25.861,0.173,26.237,0.126,0.277,0.198
J121833.56+472053.0,6.398,184.639832,47.348053,26.01,0.204,24.99,0.097,26.022,0.075,0.262,0.187
J121833.60+472108.2,6.404,184.640015,47.352291,25.756,0.173,25.023,0.122,25.677,0.07,0.245,0.175
J121836.18+472047.5,6.408,184.650757,47.346531,26.199,0.221,25.269,0.214,26.066,0.056,0.274,0.196
J121929.15+471224.0,6.433,184.871445,47.206657,26.015,0.087,25.228,0.119,,,0.33,0.193
J121848.52+472118.8,6.434,184.702164,47.355225,26.255,0.159,25.314,0.229,,,0.288,0.178
J121846.60+472014.8,6.447,184.694183,47.337433,26.191,0.123,25.364,0.209,25.919,0.199,0.285,0.178
J121847.53+472320.2,6.46,184.698044,47.388931,27.178,0.166,25.973,0.171,26.994,0.096,0.264,0.189
J121912.51+471805.4,6.471,184.802124,47.301506,26.294,0.152,25.432,0.225,,,0.361,0.254
J121849.98+471830.9,6.491,184.708237,47.308586,26.552,0.246,25.702,0.331,,,0.414,0.332
J121851.64+471728.2,6.493,184.715179,47.291157,26.673,0.237,25.371,0.328,,,0.288,0.258
J121837.08+472043.2,6.496,184.65451,47.345329,26.105,0.166,25.319,0.134,25.839,0.091,0.235,0.168
J121834.37+472015.4,6.5,184.643204,47.33762,26.449,0.141,25.275,0.171,26.452,0.089,0.249,0.178
J121902.22+471603.2,6.505,184.759262,47.267555,26.195,0.239,25.456,0.378,,,0.235,0.221
J121852.49+472140.3,6.508,184.718689,47.361183,26.382,0.157,25.682,0.27,,,0.223,0.112
J121859.32+471612.6,6.511,184.747162,47.270161,26.711,0.314,26.091,0.395,,,0.296,0.223
J121901.71+471556.6,6.528,184.757126,47.265736,26.061,0.208,25.083,0.345,,,0.328,0.254
J121839.17+472212.9,6.541,184.663193,47.370243,27.256,0.296,25.953,0.226,27.32,0.089,0.275,0.197
J121848.44+472010.4,6.549,184.701828,47.336216,26.321,0.184,25.545,0.323,,,0.407,0.273
J121904.50+471701.6,6.56,184.768768,47.283787,25.871,0.257,25.167,0.39,,,0.395,0.248
J121842.90+472213.1,6.568,184.678757,47.370319,25.961,0.093,24.605,0.186,25.658,0.125,0.228,0.163
J121912.23+471041.4,6.603,184.800949,47.178154,26.09,0.149,25.16,0.116,,,0.348,0.226
J121844.58+472146.5,6.611,184.68576,47.362911,25.59,0.203,24.657,0.265,25.369,0.171,0.243,0.173
J121828.62+472036.1,6.631,184.619263,47.343349,26.553,0.125,25.403,0.108,26.13,0.053,0.295,0.211
J121855.26+471455.6,6.642,184.73027,47.248783,25.818,0.169,25.214,0.182,,,0.321,0.199
J121846.42+472055.4,6.645,184.693436,47.348717,26.776,0.163,25.848,0.283,,,0.236,0.175
J121850.86+472210.8,6.648,184.711899,47.369675,26.873,0.325,25.956,0.15,26.989,0.119,0.324,0.231
J121902.71+471508.4,6.671,184.761276,47.252346,25.309,0.222,24.575,0.342,,,0.262,0.177
J121918.56+471206.3,6.689,184.827316,47.201752,26.297,0.129,25.354,0.147,,,0.367,0.242
J121920.85+471141.8,6.702,184.836884,47.19495,26.62,0.109,25.525,0.155,,,0.326,0.227
J121921.31+471035.3,6.713,184.838791,47.176472,26.101,0.095,25.351,0.108,,,0.291,0.198
J121905.05+471443.1,6.736,184.771027,47.245293,26.307,0.631,24.852,0.235,,,0.288,0.148
J121924.66+471107.4,6.739,184.852768,47.185379,26.113,0.065,25.246,0.108,,,0.306,0.186
J121847.78+472022.9,6.741,184.699081,47.339691,25.646,0.226,24.97,0.369,,,0.207,0.151
J121848.63+472126.4,6.751,184.702606,47.357342,25.916,0.193,25.236,0.26,,,0.483,0.261
J121922.08+471131.9,6.771,184.84198,47.192184,26.778,0.155,25.624,0.139,,,0.329,0.229
J121844.82+472312.5,6.779,184.686752,47.38681,26.738,0.327,25.402,0.242,26.172,0.153,0.279,0.199
J121903.99+471558.7,6.79,184.766617,47.266308,25.635,0.406,24.303,0.284,,,0.392,0.198
J121907.20+471606.5,6.815,184.779984,47.268478,25.846,0.188,25.055,0.265,,,0.34,0.236
J121925.48+471301.6,6.816,184.856186,47.217113,26.431,0.168,25.443,0.112,,,0.23,0.191
J121853.66+472220.6,6.833,184.723572,47.372395,26.504,0.143,25.669,0.13,26.21,0.086,0.235,0.168
J121854.18+471447.8,6.839,184.725754,47.246616,26.153,0.373,24.844,0.193,,,0.247,0.153
J121850.40+472111.1,6.85,184.710007,47.353077,25.839,0.167,25.13,0.296,,,0.38,0.205
J121845.44+471928.9,6.861,184.689331,47.324699,26.304,0.161,25.214,0.228,,,0.238,0.199
J121849.10+471636.7,6.873,184.70459,47.276875,26.211,0.184,25.12,0.168,,,0.357,0.221
J121846.14+472123.7,6.874,184.69223,47.356594,26.083,0.09,24.963,0.158,25.77,0.165,0.34,0.187
J121834.73+472018.2,6.875,184.644714,47.338383,26.828,0.38,25.807,0.389,26.789,0.085,0.403,0.288
J121838.55+472045.5,6.875,184.660614,47.345982,27.324,0.113,26.073,0.214,27.002,0.098,0.305,0.218
J121901.17+471606.5,6.9,184.754868,47.268475,25.27,0.214,24.599,0.283,,,0.191,0.149
J121846.49+472023.4,6.919,184.69371,47.339832,25.924,0.145,25.159,0.246,25.934,0.13,0.302,0.215
J121855.59+471704.1,6.963,184.731644,47.284462,26.499,0.318,25.142,0.376,,,0.327,0.226
J121855.68+471623.0,6.967,184.731995,47.273045,26.061,0.228,25.515,0.317,,,0.385,0.21
J121919.28+471147.7,6.978,184.830338,47.196594,26.478,0.103,25.492,0.143,,,0.264,0.161
J121847.49+471952.1,6.988,184.697876,47.331127,26.089,0.166,25.406,0.246,,,0.403,0.258
J121848.65+472127.1,6.995,184.702698,47.357517,26.459,0.118,25.389,0.189,26.064,0.134,0.368,0.278
J121915.68+471217.2,7.011,184.815323,47.204765,26.837,0.143,25.664,0.185,,,0.214,0.129
J121847.80+472009.8,7.016,184.699173,47.336044,26.514,0.173,25.329,0.261,,,0.371,0.219
J121857.11+472021.6,7.046,184.737961,47.339321,26.054,0.222,25.33,0.358,,,0.342,0.204
J121849.30+472143.0,7.061,184.705414,47.361942,26.09,0.096,25.165,0.145,25.864,0.138,0.266,0.19
J121845.36+471943.1,7.07,184.689011,47.328632,25.999,0.135,24.99,0.221,,,0.162,0.102
J121850.16+471835.9,7.1,184.709,47.309971,26.764,0.3,25.467,0.358,,,0.341,0.206
J121927.76+471104.7,7.114,184.865662,47.184635,26.063,0.107,25.135,0.102,,,0.388,0.261
J121924.56+471249.6,7.139,184.852341,47.213772,26.594,0.106,25.515,0.131,,,0.301,0.175
J121832.04+471943.4,7.153,184.633514,47.328728,26.753,0.099,25.699,0.267,26.773,0.063,0.217,0.155
J121848.37+472112.4,7.183,184.701553,47.353451,25.902,0.125,25.176,0.217,25.78,0.141,0.382,0.273
J121847.49+472032.4,7.187,184.697876,47.342335,25.897,0.183,25.229,0.266,,,0.422,0.337
J121848.16+471919.1,7.187,184.700668,47.32198,26.106,0.158,25.166,0.246,,,0.301,0.247
J121849.06+471836.6,7.188,184.704422,47.310162,26.574,0.324,25.499,0.288,,,0.272,0.193
J121852.63+471558.9,7.192,184.719284,47.266373,26.108,0.209,24.951,0.176,,,0.283,0.193
J121856.88+472020.7,7.207,184.737,47.339077,25.896,0.215,25.366,0.354,,,0.315,0.258
J121914.07+471135.8,7.21,184.808609,47.193272,25.751,0.134,25.018,0.134,,,0.361,0.236
J121854.32+471920.6,7.229,184.726318,47.322392,26.323,0.251,25.471,0.391,,,0.382,0.233
J121851.33+471835.8,7.241,184.713867,47.309937,25.773,0.212,25.142,0.313,,,0.254,0.158
J121921.51+471247.5,7.261,184.839645,47.213207,26.045,0.17,25.252,0.16,,,0.405,0.243
J121848.78+472023.8,7.274,184.703262,47.339951,26.444,0.175,25.53,0.297,,,0.436,0.242
J121922.29+471003.2,7.299,184.84288,47.167542,26.068,0.071,25.178,0.093,,,0.208,0.143
J121847.61+471951.9,7.304,184.69838,47.331097,26.527,0.198,25.702,0.239,,,0.399,0.336
J121848.90+472010.5,7.306,184.703751,47.336246,26.133,0.157,25.01,0.266,,,0.275,0.138
J121857.38+471713.3,7.324,184.73909,47.287022,26.528,0.264,25.374,0.416,,,0.301,0.261
J121845.79+471842.0,7.326,184.690796,47.311665,25.85,0.117,25.107,0.206,,,0.335,0.181
J121918.36+471214.7,7.336,184.826508,47.204082,25.83,0.168,24.972,0.139,,,0.347,0.243
J121847.36+472052.4,7.341,184.697342,47.347885,25.883,0.119,25.149,0.158,25.653,0.163,0.344,0.236
J121847.89+472052.6,7.343,184.699554,47.347939,25.968,0.138,25.189,0.202,25.745,0.194,0.275,0.204
J121920.54+471158.5,7.347,184.835571,47.199581,26.141,0.1,25.19,0.111,,,0.309,0.175
J121859.66+471538.8,7.357,184.748581,47.260777,25.586,0.258,24.866,0.261,,,0.353,0.297
J121903.17+471456.5,7.403,184.763199,47.249031,26.015,0.145,25.321,0.194,,,0.289,0.195
J121846.48+471855.5,7.405,184.693649,47.315403,26.244,0.139,25.391,0.263,,,0.205,0.147
J121830.57+472107.2,7.406,184.627365,47.352009,26.267,0.074,25.193,0.096,25.794,0.095,0.364,0.26
J121849.02+472127.8,7.421,184.704254,47.357716,26.429,0.079,25.376,0.227,26.186,0.128,0.254,0.182
J121920.28+471105.0,7.43,184.834488,47.184719,25.98,0.11,25.066,0.132,,,0.275,0.208
J121832.70+472015.8,7.462,184.63623,47.337715,26.103,0.071,25.377,0.155,25.956,0.068,0.309,0.221
J121906.84+471620.1,7.47,184.778503,47.272247,26.109,0.221,25.249,0.282,,,0.318,0.186
J121846.81+472033.8,7.474,184.695038,47.342731,26.625,0.142,25.331,0.211,26.409,0.161,0.243,0.173
J121857.17+472045.2,7.478,184.73819,47.345882,26.048,0.186,25.082,0.265,,,0.381,0.263
J121846.42+471900.8,7.509,184.693405,47.316898,26.018,0.129,25.073,0.177,,,0.35,0.245
J121849.88+471835.0,7.511,184.707825,47.309711,26.259,0.22,25.255,0.291,,,0.309,0.179
J121914.67+471752.9,7.511,184.811142,47.298019,26.423,0.139,25.245,0.16,,,0.41,0.208
J121853.50+471903.1,7.536,184.722931,47.317535,25.73,0.29,24.945,0.371,,,0.275,0.215
J121901.80+471620.9,7.556,184.757492,47.272476,26.017,0.268,25.191,0.312,,,0.205,0.145
J121853.81+472230.7,7.565,184.724197,47.375206,25.979,0.113,25.127,0.216,25.689,0.152,0.28,0.2
J121847.64+471839.1,7.572,184.698502,47.310852,26.014,0.166,24.991,0.254,,,0.295,0.156
J121922.02+471243.6,7.585,184.841736,47.212124,26.492,0.139,25.34,0.129,,,0.361,0.222
J121836.65+472103.3,7.617,184.65271,47.350929,25.635,0.095,24.86,0.192,25.717,0.08,0.176,0.126
J121830.65+472059.8,7.625,184.627716,47.349945,25.916,0.184,25.1,0.107,25.913,0.073,0.312,0.223
J121915.71+471206.2,7.634,184.815475,47.201721,26.787,0.127,25.439,0.139,,,0.301,0.19
J121836.91+471948.8,7.643,184.653809,47.330235,26.995,0.34,25.787,0.153,26.648,0.099,0.211,0.151
J121829.04+472017.2,7.659,184.621002,47.338116,25.844,0.142,24.965,0.063,25.861,0.052,0.223,0.159
J121856.54+471936.1,7.665,184.735565,47.326702,26.766,0.271,25.781,0.452,,,0.376,0.251
J121847.89+471937.2,7.677,184.699539,47.326996,25.954,0.138,24.72,0.22,,,0.22,0.134
J121850.53+472106.6,7.682,184.710556,47.351826,26.668,0.185,25.768,0.295,,,0.33,0.218
J121847.86+471856.0,7.688,184.699417,47.315559,25.966,0.13,25.021,0.176,,,0.353,0.226
J121848.80+472112.9,7.697,184.703354,47.353577,25.739,0.145,24.991,0.25,25.764,0.15,0.399,0.285
J121838.42+472202.3,7.702,184.66008,47.367317,26.916,0.099,25.733,0.224,26.613,0.082,0.24,0.171
J121859.33+471817.9,7.712,184.747192,47.304962,25.234,0.276,24.538,0.41,,,0.286,0.158
J121925.11+471002.6,7.714,184.854614,47.167393,26.284,0.112,25.305,0.092,,,0.353,0.215
J121903.74+471614.3,7.714,184.765564,47.270645,26.589,0.191,25.445,0.297,,,0.361,0.247
J121900.60+471700.6,7.716,184.752502,47.283497,26.183,0.277,25.429,0.415,,,0.361,0.181
J121843.59+472311.2,7.722,184.681625,47.386456,26.085,0.133,25.334,0.072,25.876,0.063,0.28,0.2
J121900.87+471627.4,7.75,184.753616,47.274273,26.037,0.249,25.061,0.331,,,0.324,0.301
J121850.69+472317.7,7.76,184.711227,47.38826,25.72,0.087,25.094,0.237,25.608,0.102,0.347,0.248
J121902.41+471637.3,7.766,184.760056,47.27702,26.23,0.195,25.438,0.284,,,0.249,0.158
J121849.97+471839.9,7.78,184.708206,47.311073,26.027,0.203,25.376,0.257,,,0.335,0.311
J121849.89+472310.1,7.851,184.70787,47.386131,26.354,0.11,25.445,0.231,26.092,0.098,0.353,0.252
J121857.24+471604.0,7.895,184.73848,47.26778,25.948,0.176,24.867,0.204,,,0.358,0.19
J121906.93+471604.2,7.914,184.778885,47.267838,25.913,0.131,24.836,0.161,,,0.416,0.291
J121846.33+472020.3,7.919,184.693039,47.338966,25.347,0.136,24.362,0.265,,,0.243,0.129
J121833.06+472106.0,7.919,184.637756,47.351669,27.278,0.218,26.105,0.391,27.104,0.098,0.199,0.142
J121846.86+472020.6,7.928,184.695236,47.339062,26.312,0.107,25.429,0.17,26.009,0.188,0.269,0.238
J121905.06+471605.7,7.929,184.771072,47.268257,26.557,0.251,25.414,0.283,,,0.332,0.247
J121852.19+472256.0,7.947,184.717453,47.382214,25.747,0.13,24.756,0.103,25.639,0.083,0.254,0.182
J121923.36+471135.2,7.985,184.847336,47.193108,25.782,0.067,24.921,0.144,,,0.396,0.236
J121857.18+471633.8,8.014,184.738266,47.276051,26.245,0.168,25.042,0.272,,,0.335,0.216
J121924.07+471132.8,8.021,184.850296,47.19244,25.478,0.071,24.661,0.105,,,0.309,0.177
J121929.33+471055.1,8.044,184.872192,47.181976,25.706,0.081,24.882,0.117,,,0.274,0.173
J121846.46+472039.5,8.045,184.693573,47.344303,25.637,0.079,24.774,0.103,25.526,0.148,0.26,0.163
J121906.23+471741.6,8.063,184.775955,47.294884,25.558,0.152,24.627,0.245,,,0.329,0.175
J121857.21+471455.2,8.069,184.738373,47.24868,26.125,0.189,25.507,0.21,,,0.254,0.168
J121853.18+472215.9,8.069,184.721588,47.371094,26.058,0.149,24.873,0.099,25.823,0.103,0.326,0.233
J121856.79+471635.9,8.075,184.736633,47.276642,27.045,0.262,25.911,0.349,,,0.364,0.333
J121848.66+472116.1,8.098,184.702759,47.354465,26.074,0.11,25.083,0.13,25.977,0.138,0.471,0.279
J121846.88+472204.2,8.113,184.695328,47.367821,25.591,0.111,24.653,0.143,25.436,0.134,0.323,0.231
J121834.64+471910.3,8.117,184.644318,47.319515,25.976,0.11,25.074,0.099,,,0.315,0.191
J121850.32+471851.7,8.129,184.709671,47.314365,25.862,0.186,25.032,0.287,,,0.338,0.195
J121840.17+472003.6,8.131,184.667374,47.334324,27.247,0.183,25.901,0.184,27.005,0.095,0.225,0.161
J121919.82+471053.9,8.171,184.832596,47.181633,25.705,0.08,24.903,0.08,,,0.274,0.171
J121923.77+471047.7,8.182,184.849045,47.17992,25.817,0.106,24.943,0.079,,,0.26,0.145
J121859.49+471557.1,8.251,184.747894,47.265858,25.852,0.202,25.328,0.343,,,0.441,0.355
J121852.12+471518.2,8.253,184.717163,47.255051,25.634,0.161,24.805,0.132,,,0.305,0.194
J121852.69+471434.0,8.273,184.719543,47.242764,26.001,0.095,25.37,0.139,,,0.337,0.217
J121858.22+471559.9,8.286,184.742584,47.266647,25.446,0.178,24.552,0.22,,,0.354,0.183
J121850.08+472102.9,8.288,184.708679,47.350815,25.852,0.192,25.018,0.223,,,0.239,0.173
J121847.54+472043.8,8.306,184.69809,47.345501,25.817,0.148,25.022,0.228,,,0.268,0.189
J121847.09+472053.2,8.312,184.696213,47.348114,25.854,0.097,24.884,0.145,25.556,0.141,0.325,0.18
J121835.72+472143.8,8.314,184.648834,47.362175,27.121,0.061,25.632,0.106,26.779,0.09,0.233,0.166
J121850.35+472300.5,8.333,184.709778,47.383465,25.801,0.153,24.857,0.153,25.518,0.12,0.213,0.152
J121923.59+471137.4,8.375,184.848297,47.193729,25.52,0.069,24.68,0.07,,,0.394,0.254
J121922.68+471238.2,8.397,184.844498,47.210602,26.042,0.121,24.882,0.119,,,0.21,0.155
J121837.58+471910.2,8.4,184.65657,47.3195,26.396,0.132,25.0,0.117,,,0.149,0.126
J121857.39+471557.2,8.405,184.739105,47.265892,26.322,0.188,25.107,0.282,,,0.287,0.147
J121836.36+472129.3,8.432,184.651489,47.35815,27.316,0.228,26.258,0.166,27.567,0.137,0.295,0.211
J121920.20+471125.1,8.456,184.834152,47.1903,26.135,0.095,25.174,0.092,,,0.315,0.197
J121847.82+471914.0,8.465,184.699265,47.320553,25.972,0.129,24.751,0.25,,,0.307,0.184
J121900.82+471507.9,8.545,184.753403,47.252201,26.409,0.218,25.482,0.244,,,0.277,0.189
J121900.00+471539.7,8.561,184.750015,47.261017,25.882,0.311,24.885,0.231,,,0.331,0.221
J121848.49+472119.9,8.567,184.702042,47.355526,25.979,0.169,25.124,0.185,25.841,0.145,0.217,0.155
J121853.55+471502.5,8.572,184.723145,47.250683,25.571,0.128,24.698,0.15,,,0.374,0.256
J121831.61+472107.0,8.573,184.631699,47.35194,26.234,0.077,24.977,0.077,26.007,0.055,0.134,0.096
J121904.53+471705.3,8.578,184.768875,47.284813,26.048,0.29,24.931,0.271,,,0.419,0.272
J121842.76+472034.5,8.617,184.678177,47.34293,27.263,0.489,26.271,0.205,27.38,0.12,0.344,0.246
J121904.46+471632.9,8.619,184.768585,47.275795,25.817,0.12,24.915,0.197,,,0.331,0.258
J121834.00+471926.3,8.626,184.641678,47.323978,25.951,0.066,24.848,0.288,25.601,0.044,0.364,0.26
J121901.80+471453.1,8.629,184.757492,47.248085,25.296,0.118,24.634,0.17,,,0.296,0.187
J121847.63+472044.0,8.631,184.698456,47.345547,25.547,0.143,24.827,0.188,25.375,0.145,0.296,0.211
J121901.48+471634.6,8.66,184.75618,47.276283,26.004,0.248,24.752,0.301,,,0.23,0.225
J121846.39+472245.0,8.669,184.693298,47.379158,26.54,0.167,25.565,0.226,26.454,0.102,0.19,0.136
J121916.13+471128.3,8.688,184.8172,47.191189,26.664,0.174,25.266,0.129,,,0.139,0.111
J121929.11+471033.4,8.706,184.871292,47.175953,25.416,0.092,24.597,0.069,,,0.374,0.212
J121850.57+471836.4,8.727,184.710709,47.31012,25.881,0.176,24.936,0.246,,,0.252,0.149
J121853.23+471505.4,8.755,184.721771,47.251511,26.026,0.155,25.163,0.14,,,0.339,0.21
