ID,Per,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W,F350LP,e_F350LP,AmpV,AmpI
J121856.21+471611.7,16.809,184.734192,47.269924,25.038,0.115,23.808,0.155,,,0.535,0.347
J121859.55+471540.9,16.812,184.748123,47.261372,25.597,0.166,24.397,0.122,,,0.516,0.304
J121849.01+472235.2,16.816,184.704208,47.376434,25.139,0.097,24.175,0.124,25.039,0.053,0.401,0.287
J121850.17+472035.4,16.94,184.709045,47.343166,25.462,0.077,24.381,0.128,,,0.502,0.293
J121902.63+471509.1,16.983,184.760956,47.252522,25.192,0.117,24.255,0.2,,,0.455,0.25
J121853.03+471514.1,16.997,184.720963,47.253906,24.408,0.096,23.541,0.147,,,0.369,0.205
J121849.54+472044.6,17.034,184.706421,47.345726,25.134,0.079,24.097,0.153,,,0.488,0.268
J121848.83+471953.1,17.436,184.703476,47.331429,25.641,0.098,24.489,0.139,,,0.37,0.268
J121835.81+471910.4,17.484,184.649216,47.319569,25.675,0.042,24.54,0.038,25.532,0.034,0.426,0.262
J121855.42+472203.9,17.558,184.730927,47.36776,24.926,0.077,23.736,0.236,24.807,0.062,0.509,0.364
J121847.56+472133.3,17.611,184.698151,47.359253,25.35,0.059,24.255,0.062,25.162,0.056,0.475,0.268
J121859.87+471814.7,17.658,184.749451,47.304081,24.924,0.173,23.596,0.298,,,0.433,0.317
J121851.94+471839.3,17.665,184.7164,47.310913,24.986,0.208,24.141,0.177,,,0.62,0.371
J121851.37+471848.2,17.872,184.71405,47.313385,24.697,0.191,23.957,0.235,,,0.457,0.265
J121852.88+471851.0,17.959,184.720352,47.314156,24.735,0.261,23.909,0.271,,,0.515,0.308
J121904.50+471457.4,18.139,184.768753,47.249279,24.859,0.09,23.895,0.132,,,0.481,0.377
J121844.97+472004.8,18.162,184.687393,47.334679,24.703,0.051,23.719,0.054,24.553,0.065,0.52,0.297
J121849.29+471831.0,18.309,184.705368,47.308605,25.388,0.128,24.216,0.139,,,0.53,0.337
